חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
99822,nan,1,4.80%,0.00%,100000,525,125,400,0,0
99643,nan,2,4.80%,0.00%,99875,525,125,400,0,0
99463,nan,3,4.80%,0.00%,99750,525,126,399,0,0
99283,nan,4,4.80%,0.00%,99625,525,126,398,0,0
99102,nan,5,4.80%,0.00%,99498,525,127,398,0,0
98921,nan,6,4.80%,0.00%,99372,525,127,397,0,0
98738,nan,7,4.80%,0.00%,99244,525,128,397,0,0
98555,nan,8,4.80%,0.00%,99117,525,128,396,0,0
98371,nan,9,4.80%,0.00%,98989,525,129,396,0,0
98187,nan,10,4.80%,0.00%,98860,525,129,395,0,0
98002,nan,11,4.80%,0.00%,98731,525,130,395,0,0
97816,nan,12,4.80%,0.00%,98601,525,130,394,0,0
97629,nan,13,4.80%,0.00%,98471,525,131,394,0,0
97442,nan,14,4.80%,0.00%,98340,525,131,393,0,0
97254,nan,15,4.80%,0.00%,98209,525,132,393,0,0
97066,nan,16,4.80%,0.00%,98077,525,132,392,0,0
96876,nan,17,4.80%,0.00%,97944,525,133,392,0,0
96686,nan,18,4.80%,0.00%,97811,525,133,391,0,0
96495,nan,19,4.80%,0.00%,97678,525,134,391,0,0
96303,nan,20,4.80%,0.00%,97544,525,134,390,0,0
96111,nan,21,4.80%,0.00%,97410,525,135,390,0,0
95918,nan,22,4.80%,0.00%,97275,525,136,389,0,0
95724,nan,23,4.80%,0.00%,97139,525,136,389,0,0
95529,nan,24,4.80%,0.00%,97003,525,137,388,0,0
95334,nan,25,4.80%,0.00%,96866,525,137,387,0,0
95138,nan,26,4.80%,0.00%,96729,525,138,387,0,0
94941,nan,27,4.80%,0.00%,96591,525,138,386,0,0
94744,nan,28,4.80%,0.00%,96453,525,139,386,0,0
94545,nan,29,4.80%,0.00%,96314,525,139,385,0,0
94346,nan,30,4.80%,0.00%,96175,525,140,385,0,0
94146,nan,31,4.80%,0.00%,96035,525,141,384,0,0
93946,nan,32,4.80%,0.00%,95894,525,141,384,0,0
93744,nan,33,4.80%,0.00%,95753,525,142,383,0,0
93542,nan,34,4.80%,0.00%,95612,525,142,382,0,0
93339,nan,35,4.80%,0.00%,95469,525,143,382,0,0
93136,nan,36,4.80%,0.00%,95327,525,143,381,0,0
92931,nan,37,4.80%,0.00%,95183,525,144,381,0,0
92726,nan,38,4.80%,0.00%,95039,525,145,380,0,0
92520,nan,39,4.80%,0.00%,94895,525,145,380,0,0
92313,nan,40,4.80%,0.00%,94750,525,146,379,0,0
92105,nan,41,4.80%,0.00%,94604,525,146,378,0,0
91897,nan,42,4.80%,0.00%,94458,525,147,378,0,0
91687,nan,43,4.80%,0.00%,94311,525,147,377,0,0
91477,nan,44,4.80%,0.00%,94163,525,148,377,0,0
91267,nan,45,4.80%,0.00%,94015,525,149,376,0,0
91055,nan,46,4.80%,0.00%,93867,525,149,375,0,0
90842,nan,47,4.80%,0.00%,93718,525,150,375,0,0
90629,nan,48,4.80%,0.00%,93568,525,150,374,0,0
90415,nan,49,4.80%,0.00%,93417,525,151,374,0,0
90200,nan,50,4.80%,0.00%,93266,525,152,373,0,0
89984,nan,51,4.80%,0.00%,93115,525,152,372,0,0
89768,nan,52,4.80%,0.00%,92963,525,153,372,0,0
89550,nan,53,4.80%,0.00%,92810,525,153,371,0,0
89332,nan,54,4.80%,0.00%,92656,525,154,371,0,0
89113,nan,55,4.80%,0.00%,92502,525,155,370,0,0
88893,nan,56,4.80%,0.00%,92348,525,155,369,0,0
88672,nan,57,4.80%,0.00%,92192,525,156,369,0,0
88451,nan,58,4.80%,0.00%,92037,525,157,368,0,0
88228,nan,59,4.80%,0.00%,91880,525,157,368,0,0
88005,nan,60,4.80%,0.00%,91723,525,158,367,0,0
87781,nan,61,4.80%,0.00%,91565,525,158,366,0,0
87556,nan,62,4.80%,0.00%,91407,525,159,366,0,0
87330,nan,63,4.80%,0.00%,91248,525,160,365,0,0
87103,nan,64,4.80%,0.00%,91088,525,160,364,0,0
86875,nan,65,4.80%,0.00%,90928,525,161,364,0,0
86647,nan,66,4.80%,0.00%,90767,525,162,363,0,0
86417,nan,67,4.80%,0.00%,90605,525,162,362,0,0
86187,nan,68,4.80%,0.00%,90443,525,163,362,0,0
85956,nan,69,4.80%,0.00%,90280,525,164,361,0,0
85724,nan,70,4.80%,0.00%,90116,525,164,360,0,0
85491,nan,71,4.80%,0.00%,89952,525,165,360,0,0
85257,nan,72,4.80%,0.00%,89787,525,166,359,0,0
85023,nan,73,4.80%,0.00%,89622,525,166,358,0,0
84787,nan,74,4.80%,0.00%,89456,525,167,358,0,0
84551,nan,75,4.80%,0.00%,89289,525,168,357,0,0
84313,nan,76,4.80%,0.00%,89121,525,168,356,0,0
84075,nan,77,4.80%,0.00%,88953,525,169,356,0,0
83836,nan,78,4.80%,0.00%,88784,525,170,355,0,0
83595,nan,79,4.80%,0.00%,88615,525,170,354,0,0
83354,nan,80,4.80%,0.00%,88445,525,171,354,0,0
83112,nan,81,4.80%,0.00%,88274,525,172,353,0,0
82869,nan,82,4.80%,0.00%,88102,525,172,352,0,0
82626,nan,83,4.80%,0.00%,87930,525,173,352,0,0
82381,nan,84,4.80%,0.00%,87757,525,174,351,0,0
82135,nan,85,4.80%,0.00%,87583,525,174,350,0,0
81888,nan,86,4.80%,0.00%,87409,525,175,350,0,0
81641,nan,87,4.80%,0.00%,87234,525,176,349,0,0
81392,nan,88,4.80%,0.00%,87058,525,176,348,0,0
81143,nan,89,4.80%,0.00%,86882,525,177,348,0,0
80892,nan,90,4.80%,0.00%,86705,525,178,347,0,0
80641,nan,91,4.80%,0.00%,86527,525,179,346,0,0
80388,nan,92,4.80%,0.00%,86348,525,179,345,0,0
80135,nan,93,4.80%,0.00%,86169,525,180,345,0,0
79881,nan,94,4.80%,0.00%,85989,525,181,344,0,0
79625,nan,95,4.80%,0.00%,85808,525,181,343,0,0
79369,nan,96,4.80%,0.00%,85627,525,182,343,0,0
79112,nan,97,4.80%,0.00%,85445,525,183,342,0,0
78853,nan,98,4.80%,0.00%,85262,525,184,341,0,0
78594,nan,99,4.80%,0.00%,85078,525,184,340,0,0
78334,nan,100,4.80%,0.00%,84894,525,185,340,0,0
78073,nan,101,4.80%,0.00%,84709,525,186,339,0,0
77810,nan,102,4.80%,0.00%,84523,525,187,338,0,0
77547,nan,103,4.80%,0.00%,84336,525,187,337,0,0
77283,nan,104,4.80%,0.00%,84149,525,188,337,0,0
77018,nan,105,4.80%,0.00%,83961,525,189,336,0,0
76751,nan,106,4.80%,0.00%,83772,525,190,335,0,0
76484,nan,107,4.80%,0.00%,83583,525,190,334,0,0
76216,nan,108,4.80%,0.00%,83392,525,191,334,0,0
75946,nan,109,4.80%,0.00%,83201,525,192,333,0,0
75676,nan,110,4.80%,0.00%,83009,525,193,332,0,0
75405,nan,111,4.80%,0.00%,82817,525,193,331,0,0
75132,nan,112,4.80%,0.00%,82623,525,194,330,0,0
74859,nan,113,4.80%,0.00%,82429,525,195,330,0,0
74584,nan,114,4.80%,0.00%,82234,525,196,329,0,0
74308,nan,115,4.80%,0.00%,82038,525,197,328,0,0
74032,nan,116,4.80%,0.00%,81842,525,197,327,0,0
73754,nan,117,4.80%,0.00%,81645,525,198,327,0,0
73475,nan,118,4.80%,0.00%,81446,525,199,326,0,0
73195,nan,119,4.80%,0.00%,81248,525,200,325,0,0
72914,nan,120,4.80%,0.00%,81048,525,200,324,0,0
72632,nan,121,4.80%,0.00%,80847,525,201,323,0,0
72349,nan,122,4.80%,0.00%,80646,525,202,323,0,0
72065,nan,123,4.80%,0.00%,80444,525,203,322,0,0
71780,nan,124,4.80%,0.00%,80241,525,204,321,0,0
71493,nan,125,4.80%,0.00%,80037,525,205,320,0,0
71206,nan,126,4.80%,0.00%,79833,525,205,319,0,0
70917,nan,127,4.80%,0.00%,79628,525,206,319,0,0
70628,nan,128,4.80%,0.00%,79421,525,207,318,0,0
70337,nan,129,4.80%,0.00%,79214,525,208,317,0,0
70045,nan,130,4.80%,0.00%,79007,525,209,316,0,0
69752,nan,131,4.80%,0.00%,78798,525,209,315,0,0
69458,nan,132,4.80%,0.00%,78589,525,210,314,0,0
69163,nan,133,4.80%,0.00%,78378,525,211,314,0,0
68866,nan,134,4.80%,0.00%,78167,525,212,313,0,0
68569,nan,135,4.80%,0.00%,77955,525,213,312,0,0
68270,nan,136,4.80%,0.00%,77742,525,214,311,0,0
67970,nan,137,4.80%,0.00%,77529,525,215,310,0,0
67669,nan,138,4.80%,0.00%,77314,525,215,309,0,0
67367,nan,139,4.80%,0.00%,77099,525,216,308,0,0
67064,nan,140,4.80%,0.00%,76882,525,217,308,0,0
66759,nan,141,4.80%,0.00%,76665,525,218,307,0,0
66454,nan,142,4.80%,0.00%,76447,525,219,306,0,0
66147,nan,143,4.80%,0.00%,76228,525,220,305,0,0
65839,nan,144,4.80%,0.00%,76009,525,221,304,0,0
65530,nan,145,4.80%,0.00%,75788,525,222,303,0,0
65220,nan,146,4.80%,0.00%,75566,525,222,302,0,0
64908,nan,147,4.80%,0.00%,75344,525,223,301,0,0
64595,nan,148,4.80%,0.00%,75121,525,224,300,0,0
64281,nan,149,4.80%,0.00%,74897,525,225,300,0,0
63966,nan,150,4.80%,0.00%,74671,525,226,299,0,0
63650,nan,151,4.80%,0.00%,74445,525,227,298,0,0
63332,nan,152,4.80%,0.00%,74219,525,228,297,0,0
