חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
0,99739,nan,1,100000,562,178,383,0,0,0
0,99478,nan,2,99822,562,179,383,0,0,0
0,99215,nan,3,99643,562,180,382,0,0,0
0,98952,nan,4,99463,562,180,381,0,0,0
0,98687,nan,5,99283,562,181,381,0,0,0
0,98422,nan,6,99102,562,182,380,0,0,0
0,98156,nan,7,98921,562,182,379,0,0,0
0,97888,nan,8,98738,562,183,378,0,0,0
0,97620,nan,9,98555,562,184,378,0,0,0
0,97351,nan,10,98371,562,184,377,0,0,0
0,97080,nan,11,98187,562,185,376,0,0,0
0,96809,nan,12,98002,562,186,376,0,0,0
0,96537,nan,13,97816,562,187,375,0,0,0
0,96263,nan,14,97629,562,187,374,0,0,0
0,95989,nan,15,97442,562,188,374,0,0,0
0,95714,nan,16,97254,562,189,373,0,0,0
0,95437,nan,17,97066,562,189,372,0,0,0
0,95160,nan,18,96876,562,190,371,0,0,0
0,94882,nan,19,96686,562,191,371,0,0,0
0,94602,nan,20,96495,562,192,370,0,0,0
0,94322,nan,21,96303,562,192,369,0,0,0
0,94041,nan,22,96111,562,193,368,0,0,0
0,93758,nan,23,95918,562,194,368,0,0,0
0,93475,nan,24,95724,562,195,367,0,0,0
0,93190,nan,25,95529,562,195,366,0,0,0
0,92905,nan,26,95334,562,196,365,0,0,0
0,92618,nan,27,95138,562,197,365,0,0,0
0,92330,nan,28,94941,562,198,364,0,0,0
0,92042,nan,29,94744,562,198,363,0,0,0
0,91752,nan,30,94545,562,199,362,0,0,0
0,91461,nan,31,94346,562,200,362,0,0,0
0,91169,nan,32,94146,562,201,361,0,0,0
0,90876,nan,33,93946,562,201,360,0,0,0
0,90582,nan,34,93744,562,202,359,0,0,0
0,90287,nan,35,93542,562,203,359,0,0,0
0,89991,nan,36,93339,562,204,358,0,0,0
0,89693,nan,37,93136,562,205,357,0,0,0
0,89395,nan,38,92931,562,205,356,0,0,0
0,89096,nan,39,92726,562,206,355,0,0,0
0,88795,nan,40,92520,562,207,355,0,0,0
0,88493,nan,41,92313,562,208,354,0,0,0
0,88190,nan,42,92105,562,208,353,0,0,0
0,87887,nan,43,91897,562,209,352,0,0,0
0,87582,nan,44,91687,562,210,351,0,0,0
0,87275,nan,45,91477,562,211,351,0,0,0
0,86968,nan,46,91267,562,212,350,0,0,0
0,86660,nan,47,91055,562,212,349,0,0,0
0,86350,nan,48,90842,562,213,348,0,0,0
0,86040,nan,49,90629,562,214,347,0,0,0
0,85728,nan,50,90415,562,215,347,0,0,0
0,85415,nan,51,90200,562,216,346,0,0,0
0,85101,nan,52,89984,562,217,345,0,0,0
0,84786,nan,53,89768,562,217,344,0,0,0
0,84469,nan,54,89550,562,218,343,0,0,0
0,84152,nan,55,89332,562,219,342,0,0,0
0,83833,nan,56,89113,562,220,342,0,0,0
0,83513,nan,57,88893,562,221,341,0,0,0
0,83192,nan,58,88672,562,222,340,0,0,0
0,82870,nan,59,88451,562,222,339,0,0,0
0,82546,nan,60,88228,562,223,338,0,0,0
0,82222,nan,61,88005,562,224,337,0,0,0
0,81896,nan,62,87781,562,225,336,0,0,0
0,81569,nan,63,87556,562,226,336,0,0,0
0,81241,nan,64,87330,562,227,335,0,0,0
0,80912,nan,65,87103,562,228,334,0,0,0
0,80581,nan,66,86875,562,229,333,0,0,0
0,80249,nan,67,86647,562,229,332,0,0,0
0,79916,nan,68,86417,562,230,331,0,0,0
0,79582,nan,69,86187,562,231,330,0,0,0
0,79246,nan,70,85956,562,232,329,0,0,0
0,78910,nan,71,85724,562,233,329,0,0,0
0,78572,nan,72,85491,562,234,328,0,0,0
0,78233,nan,73,85257,562,235,327,0,0,0
0,77892,nan,74,85023,562,236,326,0,0,0
0,77551,nan,75,84787,562,237,325,0,0,0
0,77208,nan,76,84551,562,237,324,0,0,0
0,76863,nan,77,84313,562,238,323,0,0,0
0,76518,nan,78,84075,562,239,322,0,0,0
0,76171,nan,79,83836,562,240,321,0,0,0
0,75823,nan,80,83595,562,241,320,0,0,0
0,75474,nan,81,83354,562,242,320,0,0,0
0,75124,nan,82,83112,562,243,319,0,0,0
0,74772,nan,83,82869,562,244,318,0,0,0
0,74419,nan,84,82626,562,245,317,0,0,0
0,74064,nan,85,82381,562,246,316,0,0,0
0,73709,nan,86,82135,562,247,315,0,0,0
0,73352,nan,87,81888,562,248,314,0,0,0
0,72993,nan,88,81641,562,249,313,0,0,0
0,72634,nan,89,81392,562,250,312,0,0,0
